# x,y,CDP,uncertainty
5.875000000000000000e+05,2.011430000000000000e+06,2.505516309540799824e+01,9.900135527177233996e+00
5.950000000000000000e+05,2.011430000000000000e+06,2.505336290578518188e+01,9.900043793981351925e+00
6.025000000000000000e+05,2.011430000000000000e+06,2.505120712219413548e+01,9.899930679101105468e+00
6.100000000000000000e+05,2.011430000000000000e+06,2.504864641820445215e+01,9.899791763660173771e+00
6.175000000000000000e+05,2.011430000000000000e+06,2.504562988498175358e+01,9.899621813473007848e+00
6.250000000000000000e+05,2.011430000000000000e+06,2.504210644436944833e+01,9.899414646017794084e+00
6.325000000000000000e+05,2.011430000000000000e+06,2.503802665462567845e+01,9.899162982848654480e+00
6.400000000000000000e+05,2.011430000000000000e+06,2.503334492712497905e+01,9.898858289807249022e+00
6.475000000000000000e+05,2.011430000000000000e+06,2.502802215470532587e+01,9.898490609436940701e+00
6.550000000000000000e+05,2.011430000000000000e+06,2.502202872988300442e+01,9.898048392484767533e+00
6.625000000000000000e+05,2.011430000000000000e+06,2.501534790416326359e+01,9.897518338259164494e+00
6.700000000000000000e+05,2.011430000000000000e+06,2.500797940867428437e+01,9.896885256738704228e+00
6.775000000000000000e+05,2.011430000000000000e+06,2.499994322253616374e+01,9.896131968552658975e+00
6.850000000000000000e+05,2.011430000000000000e+06,2.499128334015766484e+01,9.895239261980375289e+00
6.925000000000000000e+05,2.011430000000000000e+06,2.498207135430296688e+01,9.894185928715781841e+00
7.000000000000000000e+05,2.011430000000000000e+06,2.497240964058091706e+01,9.892948901896822633e+00
7.075000000000000000e+05,2.011430000000000000e+06,2.496243390412075769e+01,9.891503520493145629e+00
7.150000000000000000e+05,2.011430000000000000e+06,2.495231483343684431e+01,9.889823943057745481e+00
7.225000000000000000e+05,2.011430000000000000e+06,2.494225860324570476e+01,9.887883730717138775e+00
7.300000000000000000e+05,2.011430000000000000e+06,2.493250597987994155e+01,9.885656613530787951e+00
7.375000000000000000e+05,2.011430000000000000e+06,2.492332981244820189e+01,9.883117445642737309e+00
7.450000000000000000e+05,2.011430000000000000e+06,2.491503074142646668e+01,9.880243342655116834e+00
7.525000000000000000e+05,2.011430000000000000e+06,2.490793102419224070e+01,9.877014979298721187e+00
7.600000000000000000e+05,2.011430000000000000e+06,2.490236646322508207e+01,9.873418007201873792e+00
7.675000000000000000e+05,2.011430000000000000e+06,2.489867652442580237e+01,9.869444532194783903e+00
7.750000000000000000e+05,2.011430000000000000e+06,2.489719284604726468e+01,9.865094569822597137e+00
7.825000000000000000e+05,2.011430000000000000e+06,2.489822645725313777e+01,9.860377378934312986e+00
7.900000000000000000e+05,2.011430000000000000e+06,2.490205414185724209e+01,9.855312559317955134e+00
7.975000000000000000e+05,2.011430000000000000e+06,2.490890448922774780e+01,9.849930793736886514e+00
8.050000000000000000e+05,2.011430000000000000e+06,2.491894426206803459e+01,9.844274120669348704e+00
8.125000000000000000e+05,2.011430000000000000e+06,2.493226577104505282e+01,9.838395643911450605e+00
8.200000000000000000e+05,2.011430000000000000e+06,2.494887597179917904e+01,9.832358620099373780e+00
8.275000000000000000e+05,2.011430000000000000e+06,2.496868798466435990e+01,9.826234913969404516e+00
8.350000000000000000e+05,2.011430000000000000e+06,2.499151567811438923e+01,9.820102870271014694e+00
8.425000000000000000e+05,2.011430000000000000e+06,2.501707185294236524e+01,9.814044714602630393e+00
8.500000000000000000e+05,2.011430000000000000e+06,2.504497041818284586e+01,9.808143654963163982e+00
8.575000000000000000e+05,2.011430000000000000e+06,2.507473276804795148e+01,9.802480902497359594e+00
8.650000000000000000e+05,2.011430000000000000e+06,2.510579836080319183e+01,9.797132855054861977e+00
8.725000000000000000e+05,2.011430000000000000e+06,2.513753927769874963e+01,9.792168684235051046e+00
8.800000000000000000e+05,2.011430000000000000e+06,2.516927831648891356e+01,9.787648532404402246e+00
8.875000000000000000e+05,2.011430000000000000e+06,2.520030996466631379e+01,9.783622462364082395e+00
8.950000000000000000e+05,2.011430000000000000e+06,2.522992341655136883e+01,9.780130215303238117e+00
9.025000000000000000e+05,2.011430000000000000e+06,2.525742665913599438e+01,9.777201733441417630e+00
9.100000000000000000e+05,2.011430000000000000e+06,2.528217056438877464e+01,9.774858306189660340e+00
9.175000000000000000e+05,2.011430000000000000e+06,2.530357189762588277e+01,9.773114117579101645e+00
9.250000000000000000e+05,2.011430000000000000e+06,2.532113418569811003e+01,9.771977921408035783e+00
9.325000000000000000e+05,2.011430000000000000e+06,2.533446548329938253e+01,9.771454558124503365e+00
9.400000000000000000e+05,2.011430000000000000e+06,2.534329222516808500e+01,9.771546057392795248e+00
9.475000000000000000e+05,2.011430000000000000e+06,2.534746854658178350e+01,9.772252139238723601e+00
9.550000000000000000e+05,2.011430000000000000e+06,2.534698068159642048e+01,9.773570024901982123e+00
9.625000000000000000e+05,2.011430000000000000e+06,2.534194629340541383e+01,9.775493581414668398e+00
9.700000000000000000e+05,2.011430000000000000e+06,2.533260883836619470e+01,9.778011934170093511e+00
9.775000000000000000e+05,2.011430000000000000e+06,2.531932729976007579e+01,9.781107772401071543e+00
9.850000000000000000e+05,2.011430000000000000e+06,2.530256183559635375e+01,9.784755629645196962e+00
9.925000000000000000e+05,2.011430000000000000e+06,2.528285605588291318e+01,9.788920436503861566e+00
1.000000000000000000e+06,2.011430000000000000e+06,2.526081677088774313e+01,9.793556614542874073e+00
1.007500000000000000e+06,2.011430000000000000e+06,2.523709212876385166e+01,9.798607913161278660e+00
1.015000000000000000e+06,2.011430000000000000e+06,2.521234908769559624e+01,9.804008096581721787e+00
1.022500000000000000e+06,2.011430000000000000e+06,2.518725114703654100e+01,9.809682480539539284e+00
1.030000000000000000e+06,2.011430000000000000e+06,2.516243719876595719e+01,9.815550213669130386e+00
1.037500000000000000e+06,2.011430000000000000e+06,2.513850226240677799e+01,9.821527111651381148e+00
1.045000000000000000e+06,2.011430000000000000e+06,2.511598074142530734e+01,9.827528793763063319e+00
1.052500000000000000e+06,2.011430000000000000e+06,2.509533269625734420e+01,9.833473847586542860e+00
1.060000000000000000e+06,2.011430000000000000e+06,2.507693347677222562e+01,9.839286758585913617e+00
1.067500000000000000e+06,2.011430000000000000e+06,2.506106690318512165e+01,9.844900382406542860e+00
1.075000000000000000e+06,2.011430000000000000e+06,2.504792203583717125e+01,9.850257800668767771e+00
1.082500000000000000e+06,2.011430000000000000e+06,2.503759343607332610e+01,9.855313475088840036e+00
1.090000000000000000e+06,2.011430000000000000e+06,2.503008469687174653e+01,9.860033689342568408e+00
1.097500000000000000e+06,2.011430000000000000e+06,2.502531491554907106e+01,9.864396333796316085e+00
1.105000000000000000e+06,2.011430000000000000e+06,2.502312769355479105e+01,9.868390138380341625e+00
1.112500000000000000e+06,2.011430000000000000e+06,2.502330218118204286e+01,9.872013489981309675e+00
1.120000000000000000e+06,2.011430000000000000e+06,2.502556563815260304e+01,9.875272982325139282e+00
1.127500000000000000e+06,2.011430000000000000e+06,2.502960695470769537e+01,9.878181840759109988e+00
1.135000000000000000e+06,2.011430000000000000e+06,2.503509057169012308e+01,9.880758345658708919e+00
1.142500000000000000e+06,2.011430000000000000e+06,2.504167025158735882e+01,9.883024351326445966e+00
1.150000000000000000e+06,2.011430000000000000e+06,2.504900218495565056e+01,9.885003967181045681e+00
1.157500000000000000e+06,2.011430000000000000e+06,2.505675696665241503e+01,9.886722438891350606e+00
1.165000000000000000e+06,2.011430000000000000e+06,2.506463004245210513e+01,9.888205242038401011e+00
